bike_point_id,name,latitude,longitude,num_bikes,num_empty_docks,num_docks,installed,locked
BikePoints_112,"Stonecutter Street, Holborn",51.515809,-0.10527,19,1,21,True,False
BikePoints_113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,0,18,19,True,False
BikePoints_114,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,15,3,22,True,False
BikePoints_115,"Braham Street, Aldgate",51.514233,-0.073537,0,27,34,True,False
BikePoints_116,"Little Argyll Street, West End",51.514499,-0.141423,1,19,21,True,False
BikePoints_117,"Lollard Street, Vauxhall",51.49288,-0.114934,21,3,25,True,False
BikePoints_118,"Rochester Row, Westminster",51.495827,-0.135478,4,8,13,True,False
BikePoints_119,"Bath Street, St. Luke's",51.525893,-0.090847,2,7,18,True,False
BikePoints_120,"The Guildhall, Guildhall",51.515735,-0.09308,4,13,17,True,False
BikePoints_121,"Baker Street, Marylebone",51.518913,-0.156166,2,17,22,True,False
BikePoints_122,"Norton Folgate, Liverpool Street",51.521113,-0.078869,1,21,23,True,False
BikePoints_123,"St. John Street, Finsbury",51.52836,-0.104724,14,4,18,True,False
BikePoints_124,"Eaton Square, Belgravia",51.496544,-0.150905,13,5,18,True,False
BikePoints_125,"Borough High Street, The Borough",51.500694,-0.094524,3,17,21,True,False
BikePoints_126,"Museum of London, Barbican",51.517821,-0.096496,14,30,52,True,False
BikePoints_127,"Wood Street, Guildhall",51.517008,-0.093885,1,13,17,True,False
BikePoints_128,"Emperor's Gate, South Kensington",51.495362,-0.185296,4,13,22,True,False
BikePoints_129,"Golden Square, Soho",51.511897,-0.137043,1,15,18,True,False
BikePoints_130,"Tower Gardens , Tower",51.509506,-0.075459,7,14,24,True,False
BikePoints_131,"Eversholt Street , Camden Town",51.533005,-0.136792,13,1,16,True,False
BikePoints_132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,6,30,38,True,False
BikePoints_133,"Derry Street, Kensington",51.501364,-0.191462,1,13,18,True,False
BikePoints_134,"Wapping High Street, Wapping",51.504904,-0.06797,7,12,20,True,False
BikePoints_135,"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,2,12,21,True,False
BikePoints_136,"Queen Victoria Street, St. Paul's",51.511961,-0.097441,1,26,32,True,False
BikePoints_138,"Green Street, Mayfair",51.512276,-0.157436,6,10,19,True,False
BikePoints_139,"Lambeth Road, Vauxhall",51.494881,-0.117974,4,13,18,True,False
BikePoints_140,"Finsbury Square , Moorgate",51.520962,-0.085634,4,25,33,True,False
BikePoints_141,"Chapel Place, Marylebone",51.515308,-0.147203,8,16,29,True,False
BikePoints_142,"West Cromwell Road, Earl's Court",51.493724,-0.198286,10,14,24,True,False
BikePoints_144,"Kennington Cross, Kennington",51.48894,-0.111435,33,12,47,True,False
BikePoints_145,"Ilchester Place, Kensington",51.500743,-0.202759,4,19,24,True,False
BikePoints_146,"Vauxhall Bridge , Pimlico",51.488365,-0.129361,2,31,35,True,False
BikePoints_147,"Portugal Street, Holborn",51.514943,-0.116146,2,13,16,True,False
BikePoints_148,"Tachbrook Street, Victoria",51.492111,-0.138364,12,1,16,True,False
BikePoints_149,"Kennington Road Post Office, Oval",51.484788,-0.110683,14,0,18,True,False
BikePoints_150,"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,14,13,28,True,False
BikePoints_151,"Chepstow Villas, Notting Hill",51.512136,-0.201554,8,16,26,True,False
BikePoints_152,"Hampton Street, Walworth",51.49217,-0.101536,17,1,21,True,False
BikePoints_153,"Bayswater Road, Hyde Park",51.511933,-0.174411,14,10,27,True,False
BikePoints_154,"Waterloo Station 3, Waterloo",51.503791,-0.112824,33,0,35,True,False
BikePoints_155,"Lexham Gardens, Kensington",51.495866,-0.191933,8,10,19,True,False
BikePoints_156,"New Kent Road, The Borough",51.494436,-0.092921,14,19,33,True,False
BikePoints_157,"Wright's Lane, Kensington",51.500397,-0.193068,1,27,37,True,False
BikePoints_158,"Trebovir Road, Earl's Court",51.490853,-0.19617,11,3,18,True,False
BikePoints_160,"Waterloo Place, St. James's",51.506633,-0.131773,15,3,20,True,False
BikePoints_161,"Guildhouse Street, Victoria",51.492345,-0.141334,15,0,16,True,False
BikePoints_162,"Southampton Place, Holborn",51.517606,-0.121328,5,13,20,True,False
BikePoints_163,"Sloane Avenue, Knightsbridge",51.493184,-0.167894,3,21,27,True,False
BikePoints_164,"Cleveland Gardens, Bayswater",51.515607,-0.183118,13,1,16,True,False
BikePoints_165,"Orsett Terrace, Bayswater",51.517932,-0.183716,9,3,15,True,False
