name,latitude,longitude,transport_type
Notting Hill Gate Station,51.50912,-0.19664,tube_station
Notting Hill Gate Station,51.50893,-0.19656,tube_station
Notting Hill Gate Station,51.50919,-0.19612,tube_station
Notting Hill Gate Station,51.50899,-0.19617,tube_station
Notting Hill Gate Station,51.50991,-0.19793,tube_station
Northolt Station,51.54819,-0.36807,tube_station
Northwick Park Station,51.57871,-0.31818,tube_station
Northwick Park Station,51.57823,-0.31837,tube_station
Northwood Station,51.61116,-0.4237,tube_station
Northwood Hills Station,51.60078,-0.40947,tube_station
Oakwood Station,51.64763,-0.13208,tube_station
Osterley Station,51.48089,-0.35162,tube_station
Osterley Station,51.48132,-0.35166,tube_station
Oval Station,51.48193,-0.11249,tube_station
Oval Station,51.48227,-0.11282,tube_station
Oxford Circus Station,51.51537,-0.14217,tube_station
Oxford Circus Station,51.51533,-0.14186,tube_station
Oxford Circus Station,51.51517,-0.14228,tube_station
Oxford Circus Station,51.51512,-0.14192,tube_station
Oxford Circus Station,51.51523,-0.14114,tube_station
Oxford Circus Station,51.51524,-0.14154,tube_station
Oxford Circus Station,51.515,-0.14099,tube_station
Oxford Circus Station,51.51533,-0.14108,tube_station
Oxford Circus Station,51.51596,-0.14229,tube_station
Paddington Underground Station,51.51549,-0.1757,tube_station
Paddington Underground Station,51.51605,-0.17511,tube_station
Paddington Underground Station,51.5167,-0.17433,tube_station
Paddington Underground Station,51.51637,-0.17594,tube_station
Paddington (H&C Line),51.51687,-0.17722,tube_station
Paddington (H&C Line),51.51821,-0.17763,tube_station
Paddington (H&C Line),51.51811,-0.17737,tube_station
Piccadilly Circus,51.51023,-0.1352,tube_station
Piccadilly Circus,51.50992,-0.13526,tube_station
Piccadilly Circus,51.50974,-0.13514,tube_station
Piccadilly Circus,51.50998,-0.13432,tube_station
Piccadilly Circus,51.50955,-0.13455,tube_station
Piccadilly Circus,51.50954,-0.13493,tube_station
Piccadilly Circus,51.51014,-0.13418,tube_station
Piccadilly Circus,51.51015,-0.13397,tube_station
Pimlico Station,51.48896,-0.13372,tube_station
Pimlico Station,51.48909,-0.133,tube_station
Pimlico Station,51.48929,-0.13372,tube_station
Park Royal Station,51.52707,-0.28417,tube_station
Park Royal Station,51.52709,-0.28465,tube_station
Plaistow Station,51.53128,0.01804,tube_station
Plaistow Station,51.5314,0.01771,tube_station
Pinner Station,51.59301,-0.3811,tube_station
Pinner Station,51.59168,-0.38038,tube_station
Preston Road Station,51.57178,-0.29487,tube_station
Parsons Green,51.47546,-0.20121,tube_station
Parsons Green,51.47535,-0.20088,tube_station
Perivale Station,51.53677,-0.32401,tube_station
Perivale Station,51.53647,-0.32337,tube_station
Putney Bridge Station,51.46794,-0.20916,tube_station
Queensbury Station,51.5941,-0.28552,tube_station
Queensway Station,51.51062,-0.18717,tube_station
Queensway Station,51.51025,-0.18713,tube_station
Redbridge Station,51.57628,0.04556,tube_station
Redbridge Station,51.57646,0.04531,tube_station
Regents Park Station,51.52359,-0.14671,tube_station
Ruislip Gardens Station,51.5606,-0.4111,tube_station
Ruislip Gardens Station,51.56041,-0.41062,tube_station
Ruislip Manor Station,51.57315,-0.41292,tube_station
